genesymbol,entrezgene,variant_name,variant_description,variant_groups,api_url,api_variant_id,chromosome,chr_start,chr_stop,refbase,altbase,refbuild,evidence_type,evidence_level,evidence_description,evidence_direction,clinical_significance,variant_origin,status,type,pubmed_id,pubmed_html_link,disease_name,disease_ontology_id,disease_url,drug_names,drug_interaction_type,rating
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"A patient-derived xenograft (PDX) from a patient with cyclin-dependent kinase inhibitor 2A/B (CDKN2A/B) loss and FUS-ERG fusion positive Ewing's sarcoma was created. The PDX was treated in four cohorts (each N=6) with control, doxorubicin, CDK4/6 inhibitor palbociclib or IGF-1R inhibitor linsitinib. Both linsitinib and palbociclib cohorts were significantly more effective than control and doxorubicin. Doxorubicin was part of the patient's treatment (Neoadjuvant chemotherapy with DOX, vincristine, and cyclophosphamide) and was noted by authors as failing to control tumor growth.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,27286459,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/27286459' target='_blank'>Murakami et al., 2016, Oncotarget</a>",Ewing Sarcoma,3369,http://www.disease-ontology.org/?id=DOID:3369,"Linsitinib, Palbociclib",Substitutes,2
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"Preclinical study of the effects of PD-0332991 on proliferation, cell-cycle, apoptosis, and Rb phosphorylation in a panel of 40 human ovarian cancer cell lines. Concentration-dependent antiproliferative effects of PD-0332991 were seen in all ovarian cancer cell lines, but varied significantly between individual lines. Rb-proficient cell lines with low p16 expression were significantly more sensitive to PD-0332991 (as defined by IC50 < mean) in mRNA expression (Agilent), protein level (Western Blot) and copy number (Array CGH) analyses.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,21278246,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/21278246' target='_blank'>Konecny et al., 2011, Clin. Cancer Res.</a>",Ovarian Cancer,2394,http://www.disease-ontology.org/?id=DOID:2394,Palbociclib (PD0332991),NA,3
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"In a cohort of 143 patients with primary invasive melanoma hemizygous or homozygous loss of CDKN2A was observed (FISH) in 56% of cases. PD0332991 efficacy (proliferation assay) was assessed in a panel of 47 melanoma cell lines. Loss of functional p16INK4A (CDKN2A) due to gene deletion (49% of cells), methylation (4% of cells), or mutation (19% of cells) was the most prevalent alteration occurring in 71% of cell lines, and significantly correlated with PD0332991 sensitivity (Fisher's exact test P < 0.02).",Supports,Sensitivity,Somatic Mutation,accepted,evidence,24495407,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24495407' target='_blank'>Young et al., 2014, Pigment Cell Melanoma Res</a>",Skin Melanoma,8923,http://www.disease-ontology.org/?id=DOID:8923,Palbociclib (PD0332991),NA,3
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"Preclinical study of CDK4/6 inhibitor PD-0332991 in 28 renal carcinoma cell lines (25 malignant RCC and three non-malignant, transformed cell lines derived from kidney epithelium). Both p15 and p16 loss (CGH) were tested for association with response to PD-0332991 using Fisher's exact test. Cell lines with p16 and p15 losses were significantly more likely to be classified as responders (defined by pharmacokinetic data-based concentration of <=400nM) to PD-0332991 (p=0.027, relative risk (RR)=2.06 and p=0.047, RR=1.71, respectively). Four cell lines had homozygous deletions of CDKN2A but not CDKN2B, and three of these lines were classified as being sensitive to PD-0332991. There were no cell lines with only CDKN2B deletion.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,23898052,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/23898052' target='_blank'>Logan et al., 2013, Anticancer Res.</a>",Renal Cell Carcinoma,4450,http://www.disease-ontology.org/?id=DOID:4450,Palbociclib (PD0332991),NA,3
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"Preclinical study in 9 melanoma cell lines. Three cell lines did not have CDKN2A (p16) mutations and showed expression of the protein on western blot analysis. Two of the other six cell lines had stop codons leading to a truncated protein, and three had missense mutations with evidence of protein expression on western blot (two cell lines with a P114L mutation and one with an E88K mutation). Mean IC50s of flavopiridol were significantly lower in cell lines with a mutated or non-expressed p16 (p16-) (mean 50% inhibitory concentration [IC(50)] = 12.5 nM), than in cell lines with intact p16 (p16+) (mean IC(50) = 25 nM).",Supports,Sensitivity,Somatic Mutation,accepted,evidence,12777976,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/12777976' target='_blank'>Robinson et al., 2003, Melanoma Res.</a>",Skin Melanoma,8923,http://www.disease-ontology.org/?id=DOID:8923,Flavopiridol,NA,2
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,C: Case study,"A patient with metastatic ER-positive, her2-negative breast cancer with CDKN2A loss experienced a short-lived (~3-month) clinical response to palbociclib when given in combination with letrozole.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,26715889,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/26715889' target='_blank'>Gao et al., 2015, Curr Oncol</a>",Her2-receptor Negative Breast Cancer,60080,http://www.disease-ontology.org/?id=DOID:0060080,"Letrozole, Palbociclib (PD0332991)",Combination,3
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"An imatinib-resistant cell line, DFSP105, was established from a dermatofibrosarcoma protuberans which had progressed to a high-grade fibrosarcomatous DFSP. The disease-associated PDGFB-COL1A1 fusion was consistent with the most common form, a supernumerary ring chromosome. Genetic characterization of the cell line with a SNP array identified a homozygous CDKN2A/B deletion. Treatment of this cell line with CDK4/6 inhibitor palbociclib led to growth inhibition and reduced RB1 phosphorylation in vitro and in-vivo.",Supports,Sensitivity,Unknown,accepted,evidence,25852058,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/25852058' target='_blank'>Eilers et al., 2015, Mol. Cancer Ther.</a>",Dermatofibrosarcoma Protuberans,3507,http://www.disease-ontology.org/?id=DOID:3507,Palbociclib,NA,2
CDKN2A,1029,LOSS,NA,NA,https://civic.genome.wustl.edu/api/variants/554,554,9,21967752,21994623,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"Short term explant cultures from 20 glioblastoma multiforme (GBM) tumor xenograft lines were evaluated for CDKN2A (p16 aka INK4A) expression by western blot and RT-PCR as well as deletion by aCGH and Sanger sequencing. Two lines with intact CDKN2A showed resistance to the CDK4/6 inhibitor palbociclib (PD0332991). The two resistant lines had additional mutations (RB1 mutation or CDK4 amplification).  In contrast, three CDKN2A mutant (homozygous deletion) lines showed significant growth inhibition in comparison to vehicle/DMSO controls.  Screening of another 20 lines identified one with CDKN2A deletion and wildtype CDK4 which was tested in vitro and in vivo, and found to be sensitive to palbociclib.",Supports,Sensitivity,Somatic Mutation,submitted,evidence,22711607,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/22711607' target='_blank'>Cen et al., 2012, Neuro-oncology</a>",Glioblastoma Multiforme,3068,http://www.disease-ontology.org/?id=DOID:3068,Palbociclib (PD0332991),NA,2
EGFR,1956,Ex19 del L858R,NA,NA,https://civic.genome.wustl.edu/api/variants/1854,1854,,NA,NA,NA,NA,NA,Predictive,B: Clinical evidence,"The phase 3 (EURTAC) study consisted of of 173 non-small cell lung cancer patients who had not had prior chemotherapy for metastatic disease (although adjuvant or neoadjuvant chemotherapy was permitted) and included 160 patients with lung adenocarcinoma subtype. The patients had EGFR mutations (exon 19 deletions or L858R), and improved progression-free survival was reported in the erlotinib treated cohort as compared to the cohort that was treated with standard chemotherapy (9.7mo vs. 5.2mo, HR:0.37, 95%CI:0.25-0.54, P<0.0001, univariate analysis; HR:0.35, 95%CI:0.23-0.52, P<0.0001, multivariate analysis).",Supports,Sensitivity,Somatic Mutation,accepted,evidence,22285168,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/22285168' target='_blank'>Rosell et al., 2012, Lancet Oncol.</a>",Lung Adenocarcinoma,3910,http://www.disease-ontology.org/?id=DOID:3910,Erlotinib,NA,4
EGFR,1956,Ex19 del L858R,NA,NA,https://civic.genome.wustl.edu/api/variants/1854,1854,,NA,NA,NA,NA,NA,Predictive,B: Clinical evidence,"In a study of 1261 non-small cell lung cancer patients, 49.8% of the analyzed tumors had EGFR mutations including deletions in exon 19 (n=258), L858R (n=260), T790M (n=6) and insertions or duplications in exon 20 (n=25). Patients with EGFR deletions in exon 19 or L858R mutations were associated with an improved response to erlotinib or gefitinib with partial or complete response (74.1% vs. 16.5%, P<0.001) when compared to wildtype EGFR patients. Additionally, tumors with EGFR mutations in L858R or deletions in exon 19 were associated with increased overall survival (19.6mo vs. 10.4mo) compared to wildtype (all patients were treated with either erlotinib or gefitinib). From 61 patients with uncommon EGFR mutations of unknown clinical significance, 47.5% were responders in contrast to the 74.1% responders in the exon 19 deletion/L858R group.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,21531810,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/21531810' target='_blank'>Wu et al., 2011, Clin. Cancer Res.</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,"Gefitinib, Erlotinib",Substitutes,4
